退職,年齢,出張頻度,通勤距離,最終学歴,社員番号,職場環境の満足度,労働意欲,査定ランク,仕事への満足度,月給(ドル),転職回数,昇給率,能力評価,人間関係の満足度,ストックオプション,社会人歴,昨年の研修時間,ワークライフバランス,在職年数,現在の役職年数,昇進からの経過年数,現在の上司になってからの年数,残業_有,性別_男性,配偶者_離婚,配偶者_結婚,配偶者_独身,部署_人事,部署_研究開発,部署_営業,専攻_経営,専攻_科学,専攻_医学,専攻_工学,専攻_人事,専攻_その他,役職_経営層,役職_管理職,役職_主任,役職_一般
No,27,0,9,3,218,4,3,1,2,2024,6,18,3,4,1,6,1,1,2,2,2,2,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
No,28,1,21,3,221,3,3,1,4,2713,1,11,3,3,1,5,2,1,5,2,0,2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
No,57,1,24,2,223,3,4,3,4,9439,3,16,3,2,1,12,2,1,5,3,1,4,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
No,27,0,3,3,224,3,2,1,3,2566,1,15,3,4,1,1,2,2,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
No,50,1,11,3,226,3,3,5,2,19926,3,15,3,2,0,21,5,3,5,4,4,4,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
No,41,1,14,3,227,1,3,1,3,2451,4,12,3,1,1,13,2,3,9,8,1,8,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
No,30,1,5,3,228,2,3,3,4,9419,2,12,3,3,1,12,2,3,10,9,7,4,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
No,38,1,1,4,230,1,2,2,4,8686,4,22,4,3,0,12,2,4,8,3,0,7,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
No,32,1,6,5,231,3,3,1,3,3038,3,20,4,1,0,8,2,3,5,4,1,4,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
No,27,1,17,3,233,3,3,1,2,3058,0,16,3,4,1,6,3,2,5,2,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
Yes,19,2,1,1,235,3,1,1,1,2325,0,21,4,1,0,1,5,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
No,36,2,3,2,238,4,3,1,2,2088,4,12,3,3,0,13,3,2,8,7,7,2,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
No,30,0,9,3,239,3,3,2,1,3072,1,11,3,3,2,12,4,3,12,9,6,10,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
No,45,1,4,2,240,3,3,2,1,5006,4,11,3,1,1,9,3,4,5,4,0,3,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
No,56,1,8,3,241,3,3,1,1,4257,4,18,3,3,1,19,3,3,2,2,2,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
No,33,1,2,3,242,3,3,1,4,2500,0,14,3,1,0,4,2,4,3,1,0,2,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
Yes,19,1,2,3,243,2,2,1,4,1102,1,22,4,3,0,1,3,2,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
No,46,1,1,2,244,2,3,3,1,10453,1,25,4,3,3,24,2,3,24,13,15,7,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
No,38,1,9,2,245,3,3,1,4,2288,1,12,3,3,0,2,3,3,2,2,2,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
No,31,1,12,1,246,3,3,1,4,3929,8,23,4,3,1,7,0,3,4,2,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
No,34,1,27,2,247,4,3,1,2,2311,2,15,3,4,0,9,3,3,3,2,1,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
Yes,41,1,20,2,248,2,3,1,2,3140,1,22,4,4,0,4,5,2,4,3,0,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
No,50,1,1,3,249,3,2,1,3,3690,2,15,3,4,1,5,2,2,3,2,0,2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
No,53,1,13,2,250,4,4,2,1,4450,1,11,3,3,2,5,3,3,4,2,1,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
No,33,1,14,3,252,4,3,1,2,2756,1,13,3,4,1,8,5,3,8,7,1,6,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
No,40,1,4,1,253,4,3,5,3,19033,1,14,3,2,1,21,2,3,20,8,9,9,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
No,55,1,14,4,254,3,4,5,2,18722,8,11,3,4,0,36,3,3,24,15,2,15,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
No,34,2,2,1,256,4,2,2,3,9547,1,17,3,3,0,10,2,2,10,9,1,9,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
No,51,1,3,3,258,4,3,4,2,13734,3,18,3,3,0,21,6,3,7,7,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
No,52,1,1,4,259,3,2,5,3,19999,0,14,3,1,1,34,5,3,33,18,11,9,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
No,27,1,9,3,260,4,3,1,2,2279,1,16,3,4,0,7,2,2,7,7,0,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
Yes,35,1,23,2,261,2,2,2,3,5916,3,13,3,1,0,8,1,3,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
No,43,0,7,3,262,4,4,1,4,2089,4,14,3,4,3,7,3,4,5,4,2,2,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
No,45,0,2,2,264,1,2,4,4,16792,9,23,4,4,1,22,1,3,20,8,11,8,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
No,37,1,21,3,267,2,4,1,1,3564,1,12,3,1,1,8,3,2,8,7,1,7,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
No,35,2,2,3,269,2,3,2,2,4425,5,11,3,4,0,10,5,3,6,2,1,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
No,42,0,21,2,270,3,3,2,3,5265,2,16,3,2,1,11,5,3,5,3,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
No,38,1,2,4,271,4,3,2,3,6553,9,14,3,2,0,14,3,3,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
No,38,1,29,3,273,4,3,2,4,6261,3,18,3,1,1,9,3,1,7,7,1,7,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
No,27,2,1,1,274,3,2,2,1,4298,5,19,3,3,1,6,1,3,2,2,2,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
No,49,0,18,4,275,4,3,2,4,6804,1,15,3,1,2,7,0,3,7,7,1,7,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
No,34,2,10,4,277,4,3,1,3,3815,1,17,3,4,1,5,4,4,5,3,2,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
No,40,1,19,2,281,3,3,2,4,2741,8,15,3,3,1,15,2,4,7,2,3,7,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Yes,38,1,29,1,282,2,3,2,1,6673,7,19,3,2,0,17,2,3,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
Yes,29,1,27,3,283,2,3,3,4,7639,1,22,4,4,3,10,3,2,10,4,1,9,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
No,22,1,5,3,284,4,4,1,2,2328,1,16,3,1,1,4,2,2,4,2,2,2,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
No,36,2,18,1,286,2,3,1,4,2153,1,13,3,1,0,8,2,3,8,1,1,7,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
No,40,0,9,5,287,4,2,2,4,4876,9,14,3,4,1,5,5,1,3,2,0,2,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
No,46,1,1,4,288,4,3,3,1,9396,7,16,3,3,1,17,3,3,4,2,0,3,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
Yes,32,1,4,4,291,4,1,3,4,10400,1,11,3,3,0,14,2,2,14,8,9,8,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
No,30,0,1,1,292,3,2,3,3,8474,1,22,4,3,0,12,2,3,11,8,5,8,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
No,27,2,20,3,293,4,3,2,3,9981,1,14,3,4,0,7,2,3,7,7,0,7,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
No,51,1,8,4,296,2,2,3,2,12490,5,16,3,4,2,16,5,1,10,9,4,7,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
Yes,30,1,3,3,297,4,3,1,1,2657,5,11,3,3,0,8,5,3,5,2,0,4,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
No,41,1,6,3,298,4,3,3,4,13591,3,18,3,3,0,16,3,3,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
Yes,30,2,26,4,299,3,2,2,1,6696,5,15,3,3,0,9,5,2,6,3,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
Yes,29,1,1,3,300,3,3,1,3,2058,0,14,3,4,0,7,1,2,6,2,1,5,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
No,45,0,6,3,302,4,2,3,4,8865,6,12,3,4,0,23,2,3,19,7,12,8,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
No,54,1,3,3,303,4,3,2,1,5940,2,14,3,4,1,16,4,3,6,2,0,5,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
No,36,1,5,2,304,4,3,2,2,5914,8,16,3,4,0,16,3,4,13,11,3,7,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
No,33,1,4,4,305,3,2,1,2,2622,6,21,4,4,0,7,3,3,3,2,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
No,37,2,11,3,306,2,3,3,4,12185,1,14,3,3,3,10,1,3,10,8,0,7,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
No,38,1,3,3,307,1,3,3,3,10609,0,12,3,3,2,17,6,2,16,10,5,13,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
No,31,0,1,4,308,3,1,2,3,4345,0,12,3,4,1,6,2,3,5,4,1,4,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
No,59,1,3,3,309,3,2,1,4,2177,3,17,3,1,1,7,6,3,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
No,37,2,4,4,311,1,3,1,4,2793,4,17,3,3,1,13,2,3,9,8,5,8,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
No,29,2,1,1,312,2,3,3,4,7918,1,14,3,4,1,11,5,3,11,10,4,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
No,35,2,1,3,314,3,3,3,3,8789,1,14,3,1,0,10,3,4,10,7,0,8,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
Yes,29,1,18,1,315,3,2,1,4,2389,1,13,3,3,0,4,3,2,4,3,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
No,52,1,2,3,316,3,2,1,4,3212,7,15,3,2,0,6,3,2,2,2,2,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
No,42,1,4,2,319,3,3,5,4,19232,1,11,3,4,0,22,3,3,22,17,11,15,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
No,59,1,6,2,321,2,3,1,3,2267,8,17,3,4,0,7,2,2,2,2,2,2,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
No,50,1,1,4,323,4,3,5,4,19517,3,11,3,3,1,32,3,2,7,0,0,6,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
Yes,33,1,14,3,325,3,3,1,4,2436,5,13,3,3,1,8,2,1,5,4,0,4,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
No,43,1,16,3,327,4,3,4,4,16064,5,22,4,3,1,22,3,3,17,13,1,9,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
Yes,33,1,2,2,328,1,3,1,1,2707,7,20,4,1,0,13,3,4,9,7,1,7,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
No,52,0,2,4,329,1,2,5,3,19068,1,18,3,4,0,33,2,4,33,7,15,12,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
No,32,1,4,2,330,3,3,1,2,3931,2,11,3,1,1,6,5,3,4,3,1,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Yes,32,1,1,3,331,4,2,1,3,3730,0,14,3,4,0,4,2,1,3,2,1,2,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
No,39,1,1,4,332,3,3,1,3,2232,7,14,3,3,3,7,1,3,3,2,1,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
No,32,0,26,4,333,3,3,2,4,4465,0,18,3,1,0,4,2,3,3,2,2,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
No,41,1,19,2,334,3,3,2,1,3072,2,16,3,1,2,17,2,2,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
No,40,1,24,2,335,1,3,2,4,3319,1,17,3,1,2,9,3,3,9,8,4,7,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
No,45,1,1,3,336,3,4,5,4,19202,0,11,3,3,1,25,2,3,24,0,1,7,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
No,31,2,3,4,337,2,3,3,3,13675,9,12,3,1,1,9,3,3,2,2,2,2,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
No,33,1,5,4,338,3,2,1,4,2911,1,13,3,3,1,2,2,2,2,2,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
No,34,1,2,4,339,4,2,2,1,5957,6,13,3,2,1,13,3,3,11,9,5,9,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
No,37,1,1,2,340,3,2,1,1,3920,2,14,3,1,1,17,2,2,3,1,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
No,45,2,7,4,341,1,4,2,3,6434,4,17,3,4,1,9,1,3,3,2,0,2,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
Yes,37,2,10,3,342,1,3,3,3,10048,6,11,3,2,2,17,5,3,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
No,39,2,2,4,343,3,3,3,3,10938,0,25,4,4,0,20,1,3,19,6,11,8,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
No,29,1,15,3,346,3,3,1,4,2340,1,19,3,1,0,6,1,3,6,5,1,5,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
No,42,1,17,2,347,4,4,2,1,6545,3,13,3,3,0,10,1,3,3,2,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
No,29,1,20,2,349,4,3,2,4,6931,2,14,3,4,1,10,2,3,3,2,0,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
No,25,1,1,3,350,1,3,2,3,4898,0,12,3,4,2,5,3,3,4,2,1,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
No,42,1,2,3,351,4,2,1,1,2593,0,11,3,3,1,10,4,3,9,6,7,8,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
No,40,1,2,2,352,1,3,5,3,19436,0,19,3,4,1,22,5,3,21,7,3,9,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
No,51,1,1,3,353,3,3,1,4,2723,1,11,3,2,0,1,0,2,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
Yes,31,2,29,2,355,3,2,1,2,3479,0,11,3,2,0,6,2,4,5,4,1,4,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
No,32,2,7,3,359,2,4,1,2,2794,1,20,4,3,0,5,3,1,5,1,0,3,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
No,38,0,2,2,361,4,2,2,4,5249,3,18,3,4,1,13,0,3,8,7,7,5,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
No,32,1,2,1,362,4,2,2,1,2176,4,13,3,4,0,9,5,3,6,2,0,4,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
No,46,1,2,3,363,3,1,4,2,16872,3,12,3,2,1,28,2,2,7,7,7,7,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
Yes,28,1,2,4,364,1,3,1,3,3485,2,11,3,3,0,5,5,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
No,29,1,2,3,366,1,2,2,2,6644,2,19,3,2,2,10,2,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
No,31,1,23,3,367,2,2,2,4,5582,0,21,4,2,1,10,2,3,9,0,7,8,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
No,25,0,5,2,369,2,4,2,1,4000,1,12,3,4,2,6,2,3,6,3,1,5,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
No,45,1,20,2,372,3,3,4,4,13496,0,14,3,2,0,21,2,3,20,7,4,10,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
No,36,1,6,3,373,4,3,1,4,3210,0,11,3,3,1,16,4,3,15,13,10,11,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
No,55,1,1,3,374,4,3,5,1,19045,0,14,3,3,0,37,2,3,36,10,4,13,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
Yes,47,0,29,4,376,1,3,3,2,11849,1,12,3,4,1,10,2,2,10,7,9,9,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
No,28,1,9,3,377,4,3,1,4,2070,1,23,4,4,1,5,3,2,5,2,0,4,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
No,37,1,6,4,378,3,3,2,4,6502,4,14,3,2,1,7,5,4,5,4,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
No,21,1,3,2,379,4,2,1,3,3230,1,17,3,1,0,3,4,4,3,2,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
No,37,0,1,4,380,1,3,3,4,13603,2,18,3,1,2,15,2,3,5,2,0,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
No,35,1,22,3,381,2,4,3,2,11996,7,18,3,2,1,10,6,2,7,7,6,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
No,38,1,7,2,382,1,4,2,1,5605,1,24,4,3,1,8,3,3,8,0,7,7,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
No,26,2,1,3,384,3,3,2,2,6397,1,20,4,1,1,6,6,1,6,5,1,4,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
No,50,1,4,1,385,1,3,5,2,19144,3,14,3,1,2,28,4,2,10,4,1,6,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
No,53,1,3,4,386,3,3,4,3,17584,3,16,3,4,3,21,5,2,5,3,1,3,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
No,42,1,1,1,387,2,3,2,3,4907,1,25,4,3,0,20,3,3,20,16,11,6,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
No,29,2,2,2,388,2,3,2,4,4554,1,18,3,1,0,10,3,2,10,7,0,9,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
No,55,1,20,2,389,2,3,2,4,5415,3,19,3,4,1,12,4,3,10,7,0,8,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
No,26,2,11,2,390,1,3,2,1,4741,1,13,3,3,1,5,3,3,5,3,3,3,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
No,37,1,1,3,391,4,3,1,4,2115,1,12,3,2,0,17,3,3,17,12,5,7,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
Yes,44,2,24,3,392,4,3,1,3,3161,3,22,4,4,1,19,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
No,38,1,23,4,393,4,3,2,4,5745,9,14,3,2,1,10,2,3,2,2,1,2,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
Yes,26,1,16,4,394,1,3,1,2,2373,2,13,3,4,1,5,2,3,3,2,0,2,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
No,28,1,8,2,395,4,3,1,4,3310,1,21,4,4,0,5,3,3,5,3,0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
No,49,2,10,4,396,3,3,5,1,18665,9,11,3,4,0,22,4,3,3,2,1,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
No,36,1,3,3,397,3,3,2,2,4485,4,12,3,4,0,10,2,3,8,0,7,7,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
No,31,2,5,3,399,4,3,1,2,2789,1,11,3,3,1,2,5,2,2,2,2,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Yes,26,1,4,4,401,4,2,2,4,5828,1,12,3,2,0,8,0,3,8,7,7,4,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
No,37,2,9,3,403,2,3,1,4,2326,1,12,3,3,3,4,3,2,4,2,1,2,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
No,42,2,26,3,404,3,3,4,2,13525,5,14,3,4,1,23,2,4,20,4,4,8,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
Yes,18,1,3,3,405,3,3,1,3,1420,1,13,3,3,0,0,2,3,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
No,35,1,16,3,406,3,3,3,2,8020,0,15,3,3,2,12,3,2,11,9,6,9,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
No,36,2,18,4,407,3,4,1,4,3688,4,18,3,4,2,4,2,3,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
No,51,1,2,3,408,4,1,2,2,5482,5,18,3,4,1,13,3,3,4,1,1,2,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
No,41,1,2,4,410,4,3,4,2,16015,1,19,3,2,0,22,2,3,22,10,0,4,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
No,18,1,10,3,411,4,2,1,3,1200,1,12,3,1,0,0,2,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
No,28,1,16,2,412,2,4,2,1,5661,0,19,3,3,0,9,2,3,8,3,0,7,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
No,31,1,7,3,416,2,4,2,4,6929,4,11,3,2,1,10,3,2,8,7,7,7,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
No,39,1,1,3,417,3,4,3,4,9613,0,17,3,1,3,19,5,2,18,10,3,7,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
No,36,0,24,4,419,2,3,2,2,5674,7,15,3,3,1,11,3,3,9,8,0,8,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
No,32,1,7,3,420,4,2,2,3,5484,1,14,3,3,1,13,3,2,13,8,4,8,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
No,38,1,25,2,421,1,2,3,2,12061,3,17,3,3,1,19,2,3,10,8,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
No,58,0,1,4,422,4,1,2,3,5660,2,13,3,4,1,12,2,3,5,3,1,2,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
No,31,1,5,4,423,3,3,1,4,4821,0,12,3,3,1,6,4,3,5,2,0,3,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
No,31,1,2,3,424,1,2,2,1,6410,3,12,3,4,0,9,1,3,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
No,45,2,7,3,425,1,3,3,1,5210,1,18,3,1,1,24,2,3,24,9,9,11,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
No,31,1,2,4,426,3,3,1,4,2695,0,18,3,2,1,3,2,1,2,2,2,2,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
No,33,2,5,4,428,4,3,3,2,11878,6,11,3,2,2,12,2,3,10,6,8,8,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
No,39,1,10,1,429,3,3,4,1,17068,1,14,3,4,0,21,3,3,21,9,11,10,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
No,43,2,10,4,430,3,3,1,4,2455,0,19,3,1,0,9,5,3,8,7,1,7,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
No,49,1,1,2,431,3,2,4,3,13964,7,12,3,4,0,25,2,3,7,1,0,7,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
Yes,52,1,8,4,433,3,2,2,2,4941,2,15,3,1,0,11,3,2,8,2,7,7,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
No,27,1,5,3,434,3,3,1,2,2478,1,12,3,2,0,4,2,2,4,3,1,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
No,32,1,8,2,436,3,2,2,2,5228,1,11,3,4,0,13,2,3,13,12,11,9,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
No,27,1,2,3,437,4,3,2,3,4478,1,11,3,1,0,5,3,3,5,4,0,4,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
No,31,1,7,3,438,4,3,2,4,7547,4,12,3,4,3,13,3,3,7,7,1,7,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
No,32,1,2,4,439,1,4,2,4,5055,7,16,3,3,0,10,0,2,7,7,0,7,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
Yes,28,1,2,4,440,1,1,1,4,3464,5,13,3,4,0,5,4,2,3,2,2,2,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
No,30,1,28,2,441,4,3,2,4,5775,1,13,3,4,2,11,2,3,10,8,1,9,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
